time_iso,lat,lon,delta_t_s,alt_ft,gs_kt,heading_deg
2023-12-06 13:25:16,50.553689,6.184076,0,12500.3,,
2023-12-06 13:25:20,50.551101,6.198620,4,12500.0,518.6,105.6
2023-12-06 13:25:24,50.548501,6.213192,4,12499.7,519.7,105.7
2023-12-06 13:25:28,50.545891,6.227783,4,12499.2,520.5,105.7
2023-12-06 13:25:32,50.543276,6.242390,4,12498.7,521.1,105.7
2023-12-06 13:25:36,50.540658,6.257003,4,12498.2,521.4,105.7
2023-12-06 13:25:40,50.538039,6.271618,4,12497.8,521.5,105.7
2023-12-06 13:25:44,50.535422,6.286227,4,12497.4,521.3,105.7
2023-12-06 13:25:48,50.532805,6.300829,4,12497.2,521.1,105.7
2023-12-06 13:25:52,50.530193,6.315424,4,12497.0,520.8,105.7
2023-12-06 13:25:56,50.527582,6.330009,4,12496.9,520.5,105.7
2023-12-06 13:26:00,50.524975,6.344584,4,12496.8,520.1,105.7
2023-12-06 13:26:04,50.522371,6.359148,4,12496.7,519.7,105.7
2023-12-06 13:26:08,50.519771,6.373698,4,12496.7,519.3,105.7
2023-12-06 13:26:12,50.517178,6.388235,4,12496.6,518.8,105.7
2023-12-06 13:26:16,50.514587,6.402758,4,12496.6,518.3,105.7
2023-12-06 13:26:20,50.512000,6.417268,4,12496.5,517.8,105.7
2023-12-06 13:26:24,50.509414,6.431764,4,12496.5,517.4,105.7
2023-12-06 13:26:28,50.506831,6.446246,4,12496.5,516.9,105.7
2023-12-06 13:26:32,50.504249,6.460717,4,12496.6,516.5,105.7
2023-12-06 13:26:36,50.501666,6.475174,4,12496.6,516.1,105.7
2023-12-06 13:26:40,50.499084,6.489621,4,12496.8,515.8,105.7
2023-12-06 13:26:44,50.496499,6.504057,4,12497.0,515.5,105.7
2023-12-06 13:26:48,50.493911,6.518487,4,12497.2,515.4,105.7
2023-12-06 13:26:52,50.491320,6.532916,4,12497.4,515.4,105.8
2023-12-06 13:26:56,50.488724,6.547348,4,12497.6,515.6,105.8
2023-12-06 13:27:00,50.486121,6.561783,4,12497.9,515.8,105.8
2023-12-06 13:27:04,50.483512,6.576230,4,12498.1,516.3,105.8
2023-12-06 13:27:08,50.480893,6.590687,4,12498.2,516.9,105.9
2023-12-06 13:27:12,50.478266,6.605164,4,12498.3,517.6,105.9
2023-12-06 13:27:16,50.475629,6.619662,4,12498.4,518.5,105.9
2023-12-06 13:27:20,50.472984,6.634188,4,12498.5,519.6,106.0
2023-12-06 13:27:24,50.470328,6.648748,4,12498.4,520.9,106.0
2023-12-06 13:27:28,50.467662,6.663346,4,12498.4,522.3,106.0
2023-12-06 13:27:32,50.464987,6.677987,4,12498.3,523.9,106.0
2023-12-06 13:27:36,50.462302,6.692679,4,12498.1,525.8,106.0
2023-12-06 13:27:40,50.459608,6.707418,4,12497.9,527.5,106.0
2023-12-06 13:27:44,50.456905,6.722190,4,12497.7,528.8,106.0
2023-12-06 13:27:48,50.454199,6.736988,4,12497.4,529.7,106.0
