lat,lon,alt_ft,delta_t_s,gs_kt,heading_deg
52.432327,7.591489,11277.6,5.0,400.0,158.82465
52.415546,7.602129,11277.6,5.0,400.0,158.82465
52.409832,7.603933,11277.426,3.5372787,389.3727,175.9524
52.404774,7.6048417,11279.41,2.6812994,396.06583,177.831
52.397762,7.605369,11284.1045,2.8537455,397.67532,176.6239
52.391315,7.605797,11288.39,4.2752004,401.58398,175.0138
52.384167,7.605563,11294.179,4.0106606,385.74585,179.00488
52.3778,7.605586,11296.519,5.0251074,394.6938,183.39612
52.3716,7.6038713,11299.215,4.194979,374.21265,183.80815
52.365925,7.60138,11299.195,4.0385494,377.8021,187.56482
52.36016,7.5972366,11297.436,3.9334073,378.45102,194.31586
52.35481,7.5929546,11292.757,4.3117585,373.51926,204.2915
52.34995,7.5870643,11285.905,3.9078228,370.52716,202.7534
52.344803,7.5809107,11274.035,4.940453,375.45038,206.70848
52.340153,7.575229,11256.391,4.1908703,368.60638,211.50926
52.33572,7.5694647,11238.007,4.3436046,373.1814,213.10403
52.331436,7.5618114,11216.642,3.774839,384.5109,213.97963
52.326363,7.5545936,11191.389,4.2285867,367.16287,213.80495
52.32155,7.545937,11164.477,3.6946929,365.7807,217.48619
52.317158,7.539674,11133.761,4.438763,375.14368,221.15231
52.312916,7.5318294,11105.508,3.9116967,377.89447,217.44548
52.309025,7.525032,11074.784,3.5874295,371.10254,217.78204
52.30413,7.51674,11044.413,3.303118,374.77136,216.35799
52.29957,7.510205,11012.434,2.6816444,367.66812,215.44095
52.294685,7.5034227,10976.987,3.4833562,376.9873,214.68114
52.289867,7.496531,10941.937,2.858098,373.0881,209.87178
52.285244,7.489354,10904.343,3.8766627,372.3747,213.96567
52.280647,7.4811754,10867.624,3.3323104,369.29987,216.1045
52.276077,7.4737015,10835.029,4.844135,370.73013,219.56563
52.272076,7.464163,10802.422,3.3695276,366.7507,227.96494
52.26842,7.455268,10775.36,4.26296,377.28546,231.41109
52.264767,7.444454,10750.22,3.6591306,383.8921,236.11357
52.26133,7.433833,10730.559,4.066262,382.51593,238.55081
52.25795,7.4209614,10710.657,3.5235586,378.72604,235.93022
52.254597,7.4104595,10693.047,3.4725924,376.71933,242.97449
52.25118,7.3986673,10677.906,4.327556,374.9898,239.46025
52.247997,7.3870745,10659.203,5.0063972,379.18887,239.00044
52.245033,7.375841,10638.86,4.021089,365.81903,239.40002
52.241554,7.3658357,10612.224,4.507429,379.7381,238.35739
52.238197,7.3580675,10581.508,3.79181,365.24835,239.9202
52.235535,7.3468976,10546.937,3.497566,369.3975,236.0105
52.23216,7.337047,10510.159,3.055529,379.13007,231.91074
52.228615,7.3257,10472.283,3.825873,375.23682,235.02893
52.22494,7.316379,10430.988,4.672083,377.6926,232.5745
52.221466,7.305687,10393.666,4.009887,373.47183,230.75441
52.21802,7.296241,10359.997,3.2000906,376.8272,230.2783
52.214443,7.2864285,10329.489,4.538187,374.72937,234.0831
52.211315,7.276064,10296.652,2.5618424,374.51477,234.24323
52.207817,7.26575,10265.031,3.591271,386.94455,235.03989
52.203926,7.256572,10231.587,3.6512835,379.28723,233.85062
52.200203,7.2467794,10195.575,3.5731888,378.37207,232.9348
52.19518,7.236619,10157.463,4.2509365,363.93616,231.1516
52.19121,7.2270274,10120.34,3.6247935,365.84573,229.1359
52.18763,7.217733,10080.142,4.2325664,362.4771,231.38559
52.18446,7.2087927,10041.01,2.9231806,374.59335,231.6025
52.18067,7.1990776,9998.0625,3.2335408,380.63498,229.92758
52.177273,7.188646,9953.262,4.35516,372.53506,229.17029
52.173893,7.176935,9911.127,2.769174,369.95654,235.46188
52.170204,7.165248,9871.16,4.6387434,375.02997,238.70648
52.167156,7.1524496,9831.213,3.7857428,368.41068,241.56247
52.16422,7.1413984,9793.854,3.4844089,364.4888,245.31404
52.16116,7.1290812,9756.586,3.8497732,372.4734,246.05951
52.158794,7.117389,9720.881,5.4922123,368.88995,247.4385
52.156845,7.1067915,9688.4,3.4795413,368.88666,248.65881
52.154556,7.0951567,9656.803,3.7644377,378.37854,249.66286
52.15231,7.082613,9623.235,3.6800761,375.90213,248.94698
52.150375,7.0704684,9592.143,3.1690664,373.89474,248.37201
52.14852,7.0583067,9556.527,4.3521423,374.63568,248.23706
52.14722,7.0459304,9521.2295,4.207118,366.5214,250.63611
52.14578,7.034242,9485.19,3.749987,376.88187,253.4288
52.144012,7.023074,9444.676,3.6061938,380.11548,257.25458
52.142437,7.009254,9400.225,3.3834372,365.86334,255.60947
52.141296,6.998038,9352.692,3.0715475,378.23956,255.04628
52.140278,6.9843793,9300.995,3.760168,371.47098,259.32407
52.13927,6.969518,9251.945,5.1763263,378.4373,255.50998
52.138817,6.956252,9203.001,4.111823,367.14346,260.6416
52.138885,6.942722,9154.178,4.7089863,364.83084,262.43756
52.138546,6.9297495,9111.175,3.2878497,367.65732,270.09894
52.138935,6.917022,9068.555,4.4912095,370.38632,271.31134
52.139236,6.9046054,9030.177,5.1780825,381.3693,276.81873
52.139698,6.8915267,8992.026,3.4655523,376.385,277.09814
52.140205,6.879446,8954.44,3.1810422,378.69583,277.66455
52.14016,6.867227,8915.641,4.373463,383.1,277.35767
