[SedonaDB] [cycling] query: averageRideDurationDuringDay: 3.339000977575779ms, result count: 1
[SedonaDB] [cycling] query: rideCrossSeveralDistrictsInPeriod: 237.93207702692598ms, result count: 3
[SedonaDB] [cycling] query: SortRidesByHourInPeriod: 108.06004295591265ms, result count: 20
[SedonaDB] [cycling] query: SortRidesByHourInPeriod: 98.09096099343151ms, result count: 17
[SedonaDB] [cycling] query: countActiveRideInDistrict: 442.51254794653505ms, result count: 1
[SedonaDB] [cycling] query: SortRidesByHourInPeriod: 124.87658800091594ms, result count: 9
[SedonaDB] [cycling] query: averageRideDurationDuringDay: 3.3243020297959447ms, result count: 1
[SedonaDB] [cycling] query: averageRideDurationDuringDay: 2.5296149542555213ms, result count: 1
[SedonaDB] [cycling] query: averageRideDurationDuringDay: 3.0348270665854216ms, result count: 1
[SedonaDB] [cycling] query: averageRideDurationToGoAtUniversityInPeriod: 5.9517910704016685ms, result count: 1
[SedonaDB] [cycling] query: rideCrossSeveralDistrictsInPeriod: 451.36693597305566ms, result count: 25
[SedonaDB] [cycling] query: averageRideDurationDuringDay: 4.250057972967625ms, result count: 1
[SedonaDB] [cycling] query: SortRidesByHourInPeriod: 71.19772396981716ms, result count: 0
[SedonaDB] [cycling] query: RidesPastOrToUniversity: 792.9860349977389ms, result count: 935
[SedonaDB] [cycling] query: averageRideDurationToGoAtUniversityInPeriod: 9.99994098674506ms, result count: 1
[SedonaDB] [cycling] query: averageRideDurationDuringDay: 4.544990952126682ms, result count: 1
[SedonaDB] [cycling] query: countActiveRideInDistrict: 552.0918220281601ms, result count: 1
[SedonaDB] [cycling] query: averageRideDurationDuringDay: 6.121461978182197ms, result count: 1
[SedonaDB] [cycling] query: countActiveRideInDistrict: 792.6434639375657ms, result count: 1
[SedonaDB] [cycling] query: rideCrossSeveralDistrictsInPeriod: 482.1065970463678ms, result count: 12
[SedonaDB] [cycling] query: averageRideDurationToGoAtUniversityInPeriod: 9.119715075939894ms, result count: 1
[SedonaDB] [cycling] query: RidesPastOrToUniversity: 569.5998769951984ms, result count: 559
[SedonaDB] [cycling] query: averageRideDurationDuringDay: 6.733449990861118ms, result count: 1
[SedonaDB] [cycling] query: RidesPastOrToUniversity: 523.5190460225567ms, result count: 73
[SedonaDB] [cycling] query: averageRideDurationDuringDay: 4.122333019040525ms, result count: 1
[SedonaDB] [cycling] query: averageRideDurationDuringDay: 4.480359028093517ms, result count: 1
