[SedonaDB] [ais] query: averageDurationCrossingStartAtHarbourInPeriod: 4.618585982825607ms, result count: 1
[SedonaDB] [ais] query: countActiveCrossingsInPeriod: 1.6583669930696487ms, result count: 1
[SedonaDB] [ais] query: HarbourActivityInPeriod: 146.13238198217005ms, result count: 1
[SedonaDB] [ais] query: CrossingsActiveAtGivenHourOfDay: 2.58531398139894ms, result count: 1
[SedonaDB] [ais] query: countActiveCrossingsInPeriod: 3.5033119784202427ms, result count: 1
[SedonaDB] [ais] query: CrossingsActiveAtGivenHourOfDay: 4.152123001404107ms, result count: 1
[SedonaDB] [ais] query: crossingsConnectTwoGivenHarbours: 28.80419700522907ms, result count: 0
[SedonaDB] [ais] query: averageDurationCrossingStartAtHarbourInPeriod: 7.814159995177761ms, result count: 1
[SedonaDB] [ais] query: HarbourActivityInPeriod: 114.29421199136414ms, result count: 0
[SedonaDB] [ais] query: crossingsConnectTwoGivenHarbours: 70.33919999958016ms, result count: 6748
[SedonaDB] [ais] query: averageDurationCrossingStartAtHarbourInPeriod: 7.978612004080787ms, result count: 1
[SedonaDB] [ais] query: HarbourActivityInPeriod: 138.53228397783823ms, result count: 1
[SedonaDB] [ais] query: countActiveCrossingsNearIsland: 566.3281439919956ms, result count: 0
[SedonaDB] [ais] query: countActiveCrossingsInPeriod: 2.746654994552955ms, result count: 1
[SedonaDB] [ais] query: CrossingsActiveAtGivenHourOfDay: 1.8870749918278307ms, result count: 1
[SedonaDB] [ais] query: countActiveCrossingsNearIsland: 601.0842630057596ms, result count: 1
[SedonaDB] [ais] query: countActiveCrossingsNearIsland: 595.1408580003772ms, result count: 1
[SedonaDB] [ais] query: countActiveCrossingsInPeriod: 3.134774015052244ms, result count: 1
[SedonaDB] [ais] query: CrossingsActiveAtGivenHourOfDay: 2.069231995847076ms, result count: 1
[SedonaDB] [ais] query: HarbourActivityInPeriod: 98.51677800179459ms, result count: 0
[SedonaDB] [ais] query: CrossingsActiveAtGivenHourOfDay: 5.31056200270541ms, result count: 1
[SedonaDB] [ais] query: crossingsConnectTwoGivenHarbours: 39.40181399229914ms, result count: 0
[SedonaDB] [ais] query: HarbourActivityInPeriod: 116.34297200362198ms, result count: 1
[SedonaDB] [ais] query: crossingsConnectTwoGivenHarbours: 52.92303999885917ms, result count: 0
[SedonaDB] [ais] query: CrossingsActiveAtGivenHourOfDay: 4.596829006914049ms, result count: 1
[SedonaDB] [ais] query: averageDurationCrossingStartAtHarbourInPeriod: 8.078741986537352ms, result count: 1
[SedonaDB] [ais] query: crossingsConnectTwoGivenHarbours: 68.81607600371353ms, result count: 5
[SedonaDB] [ais] query: countActiveCrossingsNearIsland: 567.3433489864692ms, result count: 1
[SedonaDB] [ais] query: CrossingsActiveAtGivenHourOfDay: 5.219551007030532ms, result count: 1
[SedonaDB] [ais] query: CrossingsActiveAtGivenHourOfDay: 3.0109350045677274ms, result count: 1
[SedonaDB] [ais] query: countActiveCrossingsNearIsland: 570.0993950013071ms, result count: 0
[SedonaDB] [ais] query: crossingsConnectTwoGivenHarbours: 52.09327599732205ms, result count: 1
[SedonaDB] [ais] query: averageDurationCrossingStartAtHarbourInPeriod: 8.252204017480835ms, result count: 1
[SedonaDB] [ais] query: crossingsConnectTwoGivenHarbours: 53.85267501696944ms, result count: 0
[SedonaDB] [ais] query: crossingsConnectTwoGivenHarbours: 51.78417300339788ms, result count: 0
[SedonaDB] [ais] query: crossingsConnectTwoGivenHarbours: 58.53966798167676ms, result count: 0
[SedonaDB] [ais] query: countActiveCrossingsNearIsland: 579.9045489984564ms, result count: 1
[SedonaDB] [ais] query: HarbourActivityInPeriod: 111.92363000009209ms, result count: 1
