[SedonaDB] [ais] query: averageDurationCrossingStartAtHarbourInPeriod: 3.6476210225373507ms, result count: 1
[SedonaDB] [ais] query: countActiveCrossingsInPeriod: 1.7928720044437796ms, result count: 1
[SedonaDB] [ais] query: HarbourActivityInPeriod: 155.92235399526544ms, result count: 1
[SedonaDB] [ais] query: CrossingsActiveAtGivenHourOfDay: 2.2630179882980883ms, result count: 1
[SedonaDB] [ais] query: countActiveCrossingsInPeriod: 3.6544629838317633ms, result count: 1
[SedonaDB] [ais] query: CrossingsActiveAtGivenHourOfDay: 2.985484985401854ms, result count: 1
[SedonaDB] [ais] query: crossingsConnectTwoGivenHarbours: 42.82127899932675ms, result count: 0
[SedonaDB] [ais] query: averageDurationCrossingStartAtHarbourInPeriod: 8.533460990292951ms, result count: 1
[SedonaDB] [ais] query: HarbourActivityInPeriod: 103.55145900393836ms, result count: 0
[SedonaDB] [ais] query: crossingsConnectTwoGivenHarbours: 75.30180999310687ms, result count: 6748
[SedonaDB] [ais] query: averageDurationCrossingStartAtHarbourInPeriod: 8.843721996527165ms, result count: 1
[SedonaDB] [ais] query: HarbourActivityInPeriod: 124.9823060061317ms, result count: 1
[SedonaDB] [ais] query: countActiveCrossingsNearIsland: 545.3591669793241ms, result count: 0
[SedonaDB] [ais] query: countActiveCrossingsInPeriod: 3.3377179934177548ms, result count: 1
[SedonaDB] [ais] query: CrossingsActiveAtGivenHourOfDay: 1.998455001739785ms, result count: 1
[SedonaDB] [ais] query: countActiveCrossingsNearIsland: 564.2976179951802ms, result count: 1
[SedonaDB] [ais] query: countActiveCrossingsNearIsland: 553.8712949783076ms, result count: 1
[SedonaDB] [ais] query: countActiveCrossingsInPeriod: 2.973950991872698ms, result count: 1
[SedonaDB] [ais] query: CrossingsActiveAtGivenHourOfDay: 1.8533480179030448ms, result count: 1
[SedonaDB] [ais] query: HarbourActivityInPeriod: 122.80659101088531ms, result count: 0
[SedonaDB] [ais] query: CrossingsActiveAtGivenHourOfDay: 4.8338059859815985ms, result count: 1
[SedonaDB] [ais] query: crossingsConnectTwoGivenHarbours: 42.23075998015702ms, result count: 0
[SedonaDB] [ais] query: HarbourActivityInPeriod: 124.39582200022414ms, result count: 1
[SedonaDB] [ais] query: crossingsConnectTwoGivenHarbours: 51.590764021966606ms, result count: 0
[SedonaDB] [ais] query: CrossingsActiveAtGivenHourOfDay: 4.701509984442964ms, result count: 1
[SedonaDB] [ais] query: averageDurationCrossingStartAtHarbourInPeriod: 4.081115999724716ms, result count: 1
[SedonaDB] [ais] query: crossingsConnectTwoGivenHarbours: 58.7922940030694ms, result count: 5
[SedonaDB] [ais] query: countActiveCrossingsNearIsland: 588.1561760033946ms, result count: 1
[SedonaDB] [ais] query: CrossingsActiveAtGivenHourOfDay: 2.994684997247532ms, result count: 1
[SedonaDB] [ais] query: CrossingsActiveAtGivenHourOfDay: 3.287408995674923ms, result count: 1
[SedonaDB] [ais] query: countActiveCrossingsNearIsland: 636.159146000864ms, result count: 0
[SedonaDB] [ais] query: crossingsConnectTwoGivenHarbours: 27.370907017029822ms, result count: 1
[SedonaDB] [ais] query: averageDurationCrossingStartAtHarbourInPeriod: 8.093467011349276ms, result count: 1
[SedonaDB] [ais] query: crossingsConnectTwoGivenHarbours: 50.35938898799941ms, result count: 0
[SedonaDB] [ais] query: crossingsConnectTwoGivenHarbours: 54.022755997721106ms, result count: 0
[SedonaDB] [ais] query: crossingsConnectTwoGivenHarbours: 62.099922011839226ms, result count: 0
[SedonaDB] [ais] query: countActiveCrossingsNearIsland: 567.8523250098806ms, result count: 1
[SedonaDB] [ais] query: HarbourActivityInPeriod: 105.67231301683933ms, result count: 1
[SedonaDB] [ais] query: countActiveCrossingsNearIsland: 662.4984299996868ms, result count: 1
[SedonaDB] [ais] query: HarbourActivityInPeriod: 87.93992098071612ms, result count: 0
[SedonaDB] [ais] query: countActiveCrossingsNearIsland: 580.3660899982788ms, result count: 1
[SedonaDB] [ais] query: countActiveCrossingsInPeriod: 3.0036130046937615ms, result count: 1
[SedonaDB] [ais] query: countActiveCrossingsNearIsland: 543.8475960108917ms, result count: 0
[SedonaDB] [ais] query: countActiveCrossingsNearIsland: 549.6724389959127ms, result count: 1
[SedonaDB] [ais] query: CrossingsActiveAtGivenHourOfDay: 2.880204003304243ms, result count: 1
[SedonaDB] [ais] query: averageDurationCrossingStartAtHarbourInPeriod: 4.518230998655781ms, result count: 1
[SedonaDB] [ais] query: countActiveCrossingsNearIsland: 1408.8071460137144ms, result count: 1
[SedonaDB] [ais] query: averageDurationCrossingStartAtHarbourInPeriod: 5.1274209981784225ms, result count: 1
[SedonaDB] [ais] query: countActiveCrossingsNearIsland: 577.2846210165881ms, result count: 1
[SedonaDB] [ais] query: countActiveCrossingsNearIsland: 611.5146969968919ms, result count: 1
[SedonaDB] [ais] query: crossingsConnectTwoGivenHarbours: 27.44089101906866ms, result count: 0
[SedonaDB] [ais] query: countActiveCrossingsInPeriod: 4.9305470020044595ms, result count: 1
[SedonaDB] [ais] query: crossingsConnectTwoGivenHarbours: 51.38316101511009ms, result count: 0
[SedonaDB] [ais] query: countActiveCrossingsInPeriod: 5.02568599767983ms, result count: 1
[SedonaDB] [ais] query: crossingsConnectTwoGivenHarbours: 54.4909370073583ms, result count: 0
[SedonaDB] [ais] query: CrossingsActiveAtGivenHourOfDay: 4.706009000074118ms, result count: 1
[SedonaDB] [ais] query: averageDurationCrossingStartAtHarbourInPeriod: 5.001231998903677ms, result count: 1
[SedonaDB] [ais] query: crossingsConnectTwoGivenHarbours: 42.385030013974756ms, result count: 0
[SedonaDB] [ais] query: CrossingsActiveAtGivenHourOfDay: 4.864046990405768ms, result count: 1
[SedonaDB] [ais] query: countActiveCrossingsNearIsland: 564.2141799908131ms, result count: 1
[SedonaDB] [ais] query: averageDurationCrossingStartAtHarbourInPeriod: 4.195876012090594ms, result count: 1
[SedonaDB] [ais] query: countActiveCrossingsInPeriod: 1.9049870024900883ms, result count: 1
[SedonaDB] [ais] query: countActiveCrossingsNearIsland: 552.0593539986294ms, result count: 1
[SedonaDB] [ais] query: HarbourActivityInPeriod: 118.82486499962397ms, result count: 0
[SedonaDB] [ais] query: countActiveCrossingsInPeriod: 5.465075024403632ms, result count: 1
[SedonaDB] [ais] query: HarbourActivityInPeriod: 111.55755800427869ms, result count: 0
[SedonaDB] [ais] query: countActiveCrossingsNearIsland: 567.8145090059843ms, result count: 1
[SedonaDB] [ais] query: HarbourActivityInPeriod: 87.3305999848526ms, result count: 0
[SedonaDB] [ais] query: crossingsConnectTwoGivenHarbours: 28.5558290197514ms, result count: 0
[SedonaDB] [ais] query: averageDurationCrossingStartAtHarbourInPeriod: 8.115495002130046ms, result count: 1
[SedonaDB] [ais] query: HarbourActivityInPeriod: 114.47629900067113ms, result count: 1
[SedonaDB] [ais] query: averageDurationCrossingStartAtHarbourInPeriod: 8.40762397274375ms, result count: 1
[SedonaDB] [ais] query: averageDurationCrossingStartAtHarbourInPeriod: 6.550220015924424ms, result count: 1
[SedonaDB] [ais] query: HarbourActivityInPeriod: 129.08370298100635ms, result count: 1
[SedonaDB] [ais] query: countActiveCrossingsInPeriod: 4.1517019853927195ms, result count: 1
[SedonaDB] [ais] query: countActiveCrossingsInPeriod: 4.388542991364375ms, result count: 1
[SedonaDB] [ais] query: countActiveCrossingsInPeriod: 4.343849985161796ms, result count: 1
[SedonaDB] [ais] query: countActiveCrossingsInPeriod: 4.333803983172402ms, result count: 1
[SedonaDB] [ais] query: countActiveCrossingsInPeriod: 4.220362985506654ms, result count: 1
[SedonaDB] [ais] query: averageDurationCrossingStartAtHarbourInPeriod: 7.297450996702537ms, result count: 1
[SedonaDB] [ais] query: countActiveCrossingsInPeriod: 3.898213995853439ms, result count: 1
[SedonaDB] [ais] query: HarbourActivityInPeriod: 117.93716900865547ms, result count: 1
[SedonaDB] [ais] query: HarbourActivityInPeriod: 138.0444759852253ms, result count: 1
[SedonaDB] [ais] query: crossingsConnectTwoGivenHarbours: 46.71090099145658ms, result count: 0
[SedonaDB] [ais] query: averageDurationCrossingStartAtHarbourInPeriod: 7.789574010530487ms, result count: 1
[SedonaDB] [ais] query: crossingsConnectTwoGivenHarbours: 51.25622800551355ms, result count: 0
[SedonaDB] [ais] query: CrossingsActiveAtGivenHourOfDay: 4.5042120036669075ms, result count: 1
[SedonaDB] [ais] query: CrossingsActiveAtGivenHourOfDay: 3.0233190045692027ms, result count: 1
[SedonaDB] [ais] query: CrossingsActiveAtGivenHourOfDay: 2.887259004637599ms, result count: 1
[SedonaDB] [ais] query: averageDurationCrossingStartAtHarbourInPeriod: 4.680256999563426ms, result count: 1
[SedonaDB] [ais] query: CrossingsActiveAtGivenHourOfDay: 1.8587020167615265ms, result count: 1
[SedonaDB] [ais] query: averageDurationCrossingStartAtHarbourInPeriod: 5.620120995445177ms, result count: 1
[SedonaDB] [ais] query: CrossingsActiveAtGivenHourOfDay: 2.5064859946724027ms, result count: 1
[SedonaDB] [ais] query: countActiveCrossingsInPeriod: 3.567304986063391ms, result count: 1
[SedonaDB] [ais] query: countActiveCrossingsNearIsland: 561.998921999475ms, result count: 1
[SedonaDB] [ais] query: HarbourActivityInPeriod: 129.84621201758273ms, result count: 1
[SedonaDB] [ais] query: crossingsConnectTwoGivenHarbours: 53.260636021150276ms, result count: 0
[SedonaDB] [ais] query: CrossingsActiveAtGivenHourOfDay: 4.624032997526228ms, result count: 1
[SedonaDB] [ais] query: averageDurationCrossingStartAtHarbourInPeriod: 5.093798972666264ms, result count: 1
[SedonaDB] [ais] query: HarbourActivityInPeriod: 125.82022402784787ms, result count: 1
[SedonaDB] [ais] query: countActiveCrossingsInPeriod: 3.9480410050600767ms, result count: 1
[SedonaDB] [ais] query: countActiveCrossingsNearIsland: 565.9639410150703ms, result count: 0
[SedonaDB] [ais] query: averageDurationCrossingStartAtHarbourInPeriod: 3.6212749837432057ms, result count: 1
[SedonaDB] [ais] query: HarbourActivityInPeriod: 108.48155501298606ms, result count: 1
[SedonaDB] [ais] query: countActiveCrossingsInPeriod: 2.4985010095406324ms, result count: 1
[SedonaDB] [ais] query: countActiveCrossingsNearIsland: 741.0564140009228ms, result count: 1
[SedonaDB] [ais] query: CrossingsActiveAtGivenHourOfDay: 3.3307310077361763ms, result count: 1
[SedonaDB] [ais] query: averageDurationCrossingStartAtHarbourInPeriod: 3.7120650231372565ms, result count: 1
[SedonaDB] [ais] query: crossingsConnectTwoGivenHarbours: 50.31244899146259ms, result count: 0
[SedonaDB] [ais] query: countActiveCrossingsInPeriod: 4.880114982370287ms, result count: 1
[SedonaDB] [ais] query: countActiveCrossingsInPeriod: 4.430019005667418ms, result count: 1
[SedonaDB] [ais] query: averageDurationCrossingStartAtHarbourInPeriod: 7.3627350211609155ms, result count: 1
[SedonaDB] [ais] query: HarbourActivityInPeriod: 120.69031299324706ms, result count: 1
[SedonaDB] [ais] query: countActiveCrossingsInPeriod: 3.7305419973563403ms, result count: 1
[SedonaDB] [ais] query: HarbourActivityInPeriod: 151.86319101485424ms, result count: 1
[SedonaDB] [ais] query: HarbourActivityInPeriod: 145.90958497137763ms, result count: 1
[SedonaDB] [ais] query: countActiveCrossingsInPeriod: 3.486898000119254ms, result count: 1
[SedonaDB] [ais] query: CrossingsActiveAtGivenHourOfDay: 2.188006998039782ms, result count: 1
[SedonaDB] [ais] query: CrossingsActiveAtGivenHourOfDay: 3.123608010355383ms, result count: 1
[SedonaDB] [ais] query: crossingsConnectTwoGivenHarbours: 40.78126701642759ms, result count: 0
[SedonaDB] [ais] query: crossingsConnectTwoGivenHarbours: 55.994220019783825ms, result count: 0
[SedonaDB] [ais] query: HarbourActivityInPeriod: 138.2140020141378ms, result count: 0
[SedonaDB] [ais] query: crossingsConnectTwoGivenHarbours: 52.84747699624859ms, result count: 0
[SedonaDB] [ais] query: crossingsConnectTwoGivenHarbours: 49.509849020978436ms, result count: 0
[SedonaDB] [ais] query: CrossingsActiveAtGivenHourOfDay: 4.730579006718472ms, result count: 1
[SedonaDB] [ais] query: CrossingsActiveAtGivenHourOfDay: 4.083246982190758ms, result count: 1
[SedonaDB] [ais] query: HarbourActivityInPeriod: 129.87585499649867ms, result count: 1
[SedonaDB] [ais] query: crossingsConnectTwoGivenHarbours: 28.132375999120995ms, result count: 0
[SedonaDB] [ais] query: countActiveCrossingsInPeriod: 4.974245995981619ms, result count: 1
[SedonaDB] [ais] query: HarbourActivityInPeriod: 105.83984799450263ms, result count: 1
[SedonaDB] [ais] query: HarbourActivityInPeriod: 107.78179700719193ms, result count: 0
[SedonaDB] [ais] query: countActiveCrossingsNearIsland: 589.1674169979524ms, result count: 1
[SedonaDB] [ais] query: HarbourActivityInPeriod: 100.54693100391887ms, result count: 0
[SedonaDB] [ais] query: CrossingsActiveAtGivenHourOfDay: 4.167354985838756ms, result count: 1
[SedonaDB] [ais] query: HarbourActivityInPeriod: 115.15602300642058ms, result count: 0
[SedonaDB] [ais] query: CrossingsActiveAtGivenHourOfDay: 5.2654890168923885ms, result count: 1
[SedonaDB] [ais] query: countActiveCrossingsInPeriod: 3.3463840081822127ms, result count: 1
[SedonaDB] [ais] query: averageDurationCrossingStartAtHarbourInPeriod: 5.785696994280443ms, result count: 1
[SedonaDB] [ais] query: crossingsConnectTwoGivenHarbours: 49.70209501334466ms, result count: 0
[SedonaDB] [ais] query: crossingsConnectTwoGivenHarbours: 52.36448100185953ms, result count: 0
[SedonaDB] [ais] query: averageDurationCrossingStartAtHarbourInPeriod: 7.9955919936764985ms, result count: 1
[SedonaDB] [ais] query: crossingsConnectTwoGivenHarbours: 53.80217099445872ms, result count: 0
[SedonaDB] [ais] query: CrossingsActiveAtGivenHourOfDay: 4.4879940105602145ms, result count: 1
[SedonaDB] [ais] query: averageDurationCrossingStartAtHarbourInPeriod: 5.006680992664769ms, result count: 1
[SedonaDB] [ais] query: crossingsConnectTwoGivenHarbours: 44.7836059902329ms, result count: 0
[SedonaDB] [ais] query: averageDurationCrossingStartAtHarbourInPeriod: 8.064888999797404ms, result count: 1
[SedonaDB] [ais] query: CrossingsActiveAtGivenHourOfDay: 3.453876997809857ms, result count: 1
[SedonaDB] [ais] query: CrossingsActiveAtGivenHourOfDay: 3.1282249838113785ms, result count: 1
[SedonaDB] [ais] query: averageDurationCrossingStartAtHarbourInPeriod: 5.486882000695914ms, result count: 1
[SedonaDB] [ais] query: countActiveCrossingsNearIsland: 564.5842180238105ms, result count: 1
[SedonaDB] [ais] query: countActiveCrossingsInPeriod: 3.157061990350485ms, result count: 1
[SedonaDB] [ais] query: averageDurationCrossingStartAtHarbourInPeriod: 3.028019011253491ms, result count: 1
[SedonaDB] [ais] query: countActiveCrossingsInPeriod: 1.752927986672148ms, result count: 1
