[SedonaDB] [ais] query: averageDurationCrossingStartAtHarbourInPeriod: 3.512263996526599ms, result count: 1
[SedonaDB] [ais] query: countActiveCrossingsInPeriod: 1.9283720175735652ms, result count: 1
[SedonaDB] [ais] query: HarbourActivityInPeriod: 134.67529602348804ms, result count: 1
[SedonaDB] [ais] query: CrossingsActiveAtGivenHourOfDay: 6.596683000680059ms, result count: 1
[SedonaDB] [ais] query: countActiveCrossingsInPeriod: 2.5831189996097237ms, result count: 1
[SedonaDB] [ais] query: CrossingsActiveAtGivenHourOfDay: 1.884364988654852ms, result count: 1
[SedonaDB] [ais] query: crossingsConnectTwoGivenHarbours: 40.38401201250963ms, result count: 0
[SedonaDB] [ais] query: averageDurationCrossingStartAtHarbourInPeriod: 7.835952012101188ms, result count: 1
[SedonaDB] [ais] query: HarbourActivityInPeriod: 112.71239499910735ms, result count: 0
[SedonaDB] [ais] query: crossingsConnectTwoGivenHarbours: 77.27075199363753ms, result count: 6748
[SedonaDB] [ais] query: averageDurationCrossingStartAtHarbourInPeriod: 8.189270010916516ms, result count: 1
[SedonaDB] [ais] query: HarbourActivityInPeriod: 133.62262799637392ms, result count: 1
[SedonaDB] [ais] query: countActiveCrossingsNearIsland: 575.3833650087472ms, result count: 0
[SedonaDB] [ais] query: countActiveCrossingsInPeriod: 3.0453889921773225ms, result count: 1
[SedonaDB] [ais] query: CrossingsActiveAtGivenHourOfDay: 2.77026800904423ms, result count: 1
[SedonaDB] [ais] query: countActiveCrossingsNearIsland: 572.1663739823271ms, result count: 1
[SedonaDB] [ais] query: countActiveCrossingsNearIsland: 556.7587910045404ms, result count: 1
[SedonaDB] [ais] query: countActiveCrossingsInPeriod: 4.27718399441801ms, result count: 1
[SedonaDB] [ais] query: CrossingsActiveAtGivenHourOfDay: 4.171728010987863ms, result count: 1
[SedonaDB] [ais] query: HarbourActivityInPeriod: 88.54085000348277ms, result count: 0
[SedonaDB] [ais] query: CrossingsActiveAtGivenHourOfDay: 2.1814499923493713ms, result count: 1
[SedonaDB] [ais] query: crossingsConnectTwoGivenHarbours: 45.511169999372214ms, result count: 0
[SedonaDB] [ais] query: HarbourActivityInPeriod: 111.79291998269036ms, result count: 1
[SedonaDB] [ais] query: crossingsConnectTwoGivenHarbours: 52.22020798828453ms, result count: 0
[SedonaDB] [ais] query: CrossingsActiveAtGivenHourOfDay: 4.70620600390248ms, result count: 1
[SedonaDB] [ais] query: averageDurationCrossingStartAtHarbourInPeriod: 4.311982018407434ms, result count: 1
[SedonaDB] [ais] query: crossingsConnectTwoGivenHarbours: 66.2108059914317ms, result count: 5
[SedonaDB] [ais] query: countActiveCrossingsNearIsland: 588.0551870213822ms, result count: 1
[SedonaDB] [ais] query: CrossingsActiveAtGivenHourOfDay: 2.659429010236636ms, result count: 1
[SedonaDB] [ais] query: CrossingsActiveAtGivenHourOfDay: 2.996861992869526ms, result count: 1
[SedonaDB] [ais] query: countActiveCrossingsNearIsland: 569.2390059994068ms, result count: 0
[SedonaDB] [ais] query: crossingsConnectTwoGivenHarbours: 42.687731998739764ms, result count: 1
[SedonaDB] [ais] query: averageDurationCrossingStartAtHarbourInPeriod: 7.857402990339324ms, result count: 1
[SedonaDB] [ais] query: crossingsConnectTwoGivenHarbours: 50.12310200254433ms, result count: 0
[SedonaDB] [ais] query: crossingsConnectTwoGivenHarbours: 56.221208011265844ms, result count: 0
[SedonaDB] [ais] query: crossingsConnectTwoGivenHarbours: 58.651161001762375ms, result count: 0
[SedonaDB] [ais] query: countActiveCrossingsNearIsland: 677.1952339913696ms, result count: 1
[SedonaDB] [ais] query: HarbourActivityInPeriod: 131.25698300427757ms, result count: 1
[SedonaDB] [ais] query: countActiveCrossingsNearIsland: 583.001688006334ms, result count: 1
[SedonaDB] [ais] query: HarbourActivityInPeriod: 90.9706869861111ms, result count: 0
[SedonaDB] [ais] query: countActiveCrossingsNearIsland: 584.6987240074668ms, result count: 1
[SedonaDB] [ais] query: countActiveCrossingsInPeriod: 2.6496360078454018ms, result count: 1
[SedonaDB] [ais] query: countActiveCrossingsNearIsland: 571.2486619886477ms, result count: 0
[SedonaDB] [ais] query: countActiveCrossingsNearIsland: 552.5041110231541ms, result count: 1
[SedonaDB] [ais] query: CrossingsActiveAtGivenHourOfDay: 2.627234993269667ms, result count: 1
[SedonaDB] [ais] query: averageDurationCrossingStartAtHarbourInPeriod: 4.140039993217215ms, result count: 1
[SedonaDB] [ais] query: countActiveCrossingsNearIsland: 1363.2197479892056ms, result count: 1
[SedonaDB] [ais] query: averageDurationCrossingStartAtHarbourInPeriod: 3.352454979903996ms, result count: 1
[SedonaDB] [ais] query: countActiveCrossingsNearIsland: 534.0475430130027ms, result count: 1
[SedonaDB] [ais] query: countActiveCrossingsNearIsland: 524.5289680024143ms, result count: 1
[SedonaDB] [ais] query: crossingsConnectTwoGivenHarbours: 25.799564988119528ms, result count: 0
[SedonaDB] [ais] query: countActiveCrossingsInPeriod: 4.437170980963856ms, result count: 1
[SedonaDB] [ais] query: crossingsConnectTwoGivenHarbours: 45.762287016259506ms, result count: 0
[SedonaDB] [ais] query: countActiveCrossingsInPeriod: 4.297626990592107ms, result count: 1
[SedonaDB] [ais] query: crossingsConnectTwoGivenHarbours: 52.6879710087087ms, result count: 0
[SedonaDB] [ais] query: CrossingsActiveAtGivenHourOfDay: 4.248351004207507ms, result count: 1
[SedonaDB] [ais] query: averageDurationCrossingStartAtHarbourInPeriod: 3.293164016213268ms, result count: 1
[SedonaDB] [ais] query: crossingsConnectTwoGivenHarbours: 26.996011001756415ms, result count: 0
[SedonaDB] [ais] query: CrossingsActiveAtGivenHourOfDay: 4.333106015110388ms, result count: 1
[SedonaDB] [ais] query: countActiveCrossingsNearIsland: 519.0434289979748ms, result count: 1
[SedonaDB] [ais] query: averageDurationCrossingStartAtHarbourInPeriod: 3.0596939905080944ms, result count: 1
[SedonaDB] [ais] query: countActiveCrossingsInPeriod: 1.3490050041582435ms, result count: 1
[SedonaDB] [ais] query: countActiveCrossingsNearIsland: 522.0781330135651ms, result count: 1
[SedonaDB] [ais] query: HarbourActivityInPeriod: 65.95033200574107ms, result count: 0
[SedonaDB] [ais] query: countActiveCrossingsInPeriod: 4.800919006811455ms, result count: 1
[SedonaDB] [ais] query: HarbourActivityInPeriod: 79.29127701208927ms, result count: 0
[SedonaDB] [ais] query: countActiveCrossingsNearIsland: 658.4694950142875ms, result count: 1
[SedonaDB] [ais] query: HarbourActivityInPeriod: 67.99572301679291ms, result count: 0
[SedonaDB] [ais] query: crossingsConnectTwoGivenHarbours: 52.26540399598889ms, result count: 0
[SedonaDB] [ais] query: averageDurationCrossingStartAtHarbourInPeriod: 7.731766003416851ms, result count: 1
[SedonaDB] [ais] query: HarbourActivityInPeriod: 78.21819500532001ms, result count: 1
[SedonaDB] [ais] query: averageDurationCrossingStartAtHarbourInPeriod: 8.260433009127155ms, result count: 1
[SedonaDB] [ais] query: averageDurationCrossingStartAtHarbourInPeriod: 5.265879997750744ms, result count: 1
[SedonaDB] [ais] query: HarbourActivityInPeriod: 113.85115701705217ms, result count: 1
[SedonaDB] [ais] query: countActiveCrossingsInPeriod: 5.487685994012281ms, result count: 1
[SedonaDB] [ais] query: countActiveCrossingsInPeriod: 4.444237012648955ms, result count: 1
[SedonaDB] [ais] query: countActiveCrossingsInPeriod: 4.351618001237512ms, result count: 1
[SedonaDB] [ais] query: countActiveCrossingsInPeriod: 4.274112987332046ms, result count: 1
[SedonaDB] [ais] query: countActiveCrossingsInPeriod: 4.288188996724784ms, result count: 1
[SedonaDB] [ais] query: averageDurationCrossingStartAtHarbourInPeriod: 7.26831701467745ms, result count: 1
[SedonaDB] [ais] query: countActiveCrossingsInPeriod: 3.89837400871329ms, result count: 1
[SedonaDB] [ais] query: HarbourActivityInPeriod: 117.22002600436099ms, result count: 1
[SedonaDB] [ais] query: HarbourActivityInPeriod: 92.49176899902523ms, result count: 1
[SedonaDB] [ais] query: crossingsConnectTwoGivenHarbours: 47.97693798900582ms, result count: 0
[SedonaDB] [ais] query: averageDurationCrossingStartAtHarbourInPeriod: 7.746129995211959ms, result count: 1
[SedonaDB] [ais] query: crossingsConnectTwoGivenHarbours: 48.77558600855991ms, result count: 0
[SedonaDB] [ais] query: CrossingsActiveAtGivenHourOfDay: 4.331109987106174ms, result count: 1
[SedonaDB] [ais] query: CrossingsActiveAtGivenHourOfDay: 2.293188008479774ms, result count: 1
[SedonaDB] [ais] query: CrossingsActiveAtGivenHourOfDay: 2.0773680007550865ms, result count: 1
[SedonaDB] [ais] query: averageDurationCrossingStartAtHarbourInPeriod: 3.232294984627515ms, result count: 1
[SedonaDB] [ais] query: CrossingsActiveAtGivenHourOfDay: 1.5278960054274648ms, result count: 1
[SedonaDB] [ais] query: averageDurationCrossingStartAtHarbourInPeriod: 3.3118039718829095ms, result count: 1
[SedonaDB] [ais] query: CrossingsActiveAtGivenHourOfDay: 1.6638209926895797ms, result count: 1
[SedonaDB] [ais] query: countActiveCrossingsInPeriod: 2.2182679967954755ms, result count: 1
[SedonaDB] [ais] query: countActiveCrossingsNearIsland: 585.9178410028107ms, result count: 1
[SedonaDB] [ais] query: HarbourActivityInPeriod: 99.80591697967611ms, result count: 1
[SedonaDB] [ais] query: crossingsConnectTwoGivenHarbours: 58.76401101704687ms, result count: 0
[SedonaDB] [ais] query: CrossingsActiveAtGivenHourOfDay: 4.3525439978111535ms, result count: 1
[SedonaDB] [ais] query: averageDurationCrossingStartAtHarbourInPeriod: 2.8397749993018806ms, result count: 1
[SedonaDB] [ais] query: HarbourActivityInPeriod: 92.49283600365743ms, result count: 1
[SedonaDB] [ais] query: countActiveCrossingsInPeriod: 2.012299984926358ms, result count: 1
[SedonaDB] [ais] query: countActiveCrossingsNearIsland: 578.2958139898255ms, result count: 0
[SedonaDB] [ais] query: averageDurationCrossingStartAtHarbourInPeriod: 3.314159024739638ms, result count: 1
[SedonaDB] [ais] query: HarbourActivityInPeriod: 79.77106800535694ms, result count: 1
[SedonaDB] [ais] query: countActiveCrossingsInPeriod: 2.100667014019564ms, result count: 1
[SedonaDB] [ais] query: countActiveCrossingsNearIsland: 570.8756690146402ms, result count: 1
[SedonaDB] [ais] query: CrossingsActiveAtGivenHourOfDay: 1.9717710092663765ms, result count: 1
[SedonaDB] [ais] query: averageDurationCrossingStartAtHarbourInPeriod: 2.888540009735152ms, result count: 1
[SedonaDB] [ais] query: crossingsConnectTwoGivenHarbours: 24.619953997898847ms, result count: 0
[SedonaDB] [ais] query: countActiveCrossingsInPeriod: 3.9879190153442323ms, result count: 1
[SedonaDB] [ais] query: countActiveCrossingsInPeriod: 3.690773999551311ms, result count: 1
[SedonaDB] [ais] query: averageDurationCrossingStartAtHarbourInPeriod: 7.269223977345973ms, result count: 1
[SedonaDB] [ais] query: HarbourActivityInPeriod: 95.76688898960128ms, result count: 1
[SedonaDB] [ais] query: countActiveCrossingsInPeriod: 2.825284987920895ms, result count: 1
[SedonaDB] [ais] query: HarbourActivityInPeriod: 120.14365900540724ms, result count: 1
[SedonaDB] [ais] query: HarbourActivityInPeriod: 99.20224599773064ms, result count: 1
[SedonaDB] [ais] query: countActiveCrossingsInPeriod: 2.011923003010452ms, result count: 1
[SedonaDB] [ais] query: CrossingsActiveAtGivenHourOfDay: 1.6984429967124015ms, result count: 1
[SedonaDB] [ais] query: CrossingsActiveAtGivenHourOfDay: 1.9472829881124198ms, result count: 1
[SedonaDB] [ais] query: crossingsConnectTwoGivenHarbours: 21.395009971456602ms, result count: 0
[SedonaDB] [ais] query: crossingsConnectTwoGivenHarbours: 50.41693599196151ms, result count: 0
